time,KE,dt
0.0054899999999999,12346846942.966,2.6440416544961e-05
0.0054999999999999,12384351606.383,2.6440416544961e-05
0.0055099999999999,12421826014.741,2.6440416544961e-05
0.0055199999999999,12459268993.778,2.6440416544961e-05
0.0055299999999999,12496679337.858,2.6440416544961e-05
0.0055399999999999,12534055831.341,2.6440416544962e-05
0.0055499999999999,12571397270.492,2.6440416544961e-05
0.0055599999999999,12608702485.173,2.6440416544961e-05
0.0055699999999999,12645970359.598,2.6440416544961e-05
0.0055799999999999,12683199851.424,2.6440416544961e-05
0.0055899999999999,12720390008.507,2.6440416544961e-05
0.0055999999999999,12757539982.828,2.6440416544961e-05
0.0056099999999999,12794649041.181,2.644041654496e-05
0.0056199999999999,12831716572.402,2.6440416544962e-05
0.0056299999999999,12868742091.187,2.6440416544961e-05
0.0056399999999999,12905725238.506,2.6440416544961e-05
0.0056499999999999,12942665778.855,2.6440416544962e-05
0.0056599999999999,12979563594.853,2.6440416544961e-05
0.0056699999999999,13016418679.557,2.6440416544961e-05
0.0056799999999999,13053231127.051,2.5025576933126e-05
0.0056899999999999,13090001121.867,2.6440416544959e-05
0.0056999999999999,13126728927.522,2.6440416544962e-05
0.0057099999999999,13163414874.958,2.6440416544961e-05
0.0057199999999999,13200059351.151,2.6440416544961e-05
0.0057299999999999,13236662787.894,2.6440416544961e-05
0.0057399999999999,13273225651.215,2.6440416544961e-05
0.0057499999999999,13309748431.492,2.6440416544961e-05
0.0057599999999999,13346231634.057,2.6440416544961e-05
0.0057699999999999,13382675770.285,2.6440416544961e-05
0.0057799999999999,13419081349.106,2.6440416544961e-05
0.0057899999999999,13455448868.603,2.6440416544961e-05
0.0057999999999999,13491778807.531,2.6440416544962e-05
0.0058099999999999,13528071616.635,2.6440416544961e-05
0.0058199999999999,13564327709.837,2.6440416544961e-05
0.0058299999999999,13600547455.001,2.6440416544961e-05
0.0058399999999999,13636731164.318,2.6440416544961e-05
0.0058499999999999,13672879084.631,2.5025576933149e-05
